bill_bill_type,bill_billing_entity,bill_billing_period_end_date,bill_billing_period_start_date,bill_invoice_id,bill_invoicing_entity,bill_payer_account_id,bill_payer_account_name,cost_category,discount,discount_bundled_discount,discount_total_discount,identity_line_item_id,identity_time_interval,line_item_availability_zone,line_item_blended_cost,line_item_blended_rate,line_item_currency_code,line_item_legal_entity,line_item_line_item_description,line_item_line_item_type,line_item_net_unblended_cost,line_item_net_unblended_rate,line_item_normalization_factor,line_item_normalized_usage_amount,line_item_operation,line_item_product_code,line_item_resource_id,line_item_tax_type,line_item_unblended_cost,line_item_unblended_rate,line_item_usage_account_id,line_item_usage_account_name,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,line_item_usage_type,pricing_currency,pricing_lease_contract_length,pricing_offering_class,pricing_public_on_demand_cost,pricing_public_on_demand_rate,pricing_purchase_option,pricing_rate_code,pricing_rate_id,pricing_term,pricing_unit,product,product_comment,product_fee_code,product_fee_description,product_from_location,product_from_location_type,product_from_region_code,product_instance_family,product_instance_type,product_instancesku,product_location,product_location_type,product_operation,product_pricing_unit,product_product_family,product_region_code,product_servicecode,product_sku,product_to_location,product_to_location_type,product_to_region_code,product_usagetype,reservation_amortized_upfront_cost_for_usage,reservation_amortized_upfront_fee_for_billing_period,reservation_availability_zone,reservation_effective_cost,reservation_end_time,reservation_modification_status,reservation_net_amortized_upfront_cost_for_usage,reservation_net_amortized_upfront_fee_for_billing_period,reservation_net_effective_cost,reservation_net_recurring_fee_for_usage,reservation_net_unused_amortized_upfront_fee_for_billing_period,reservation_net_unused_recurring_fee,reservation_net_upfront_value,reservation_normalized_units_per_reservation,reservation_number_of_reservations,reservation_recurring_fee_for_usage,reservation_reservation_a_r_n,reservation_start_time,reservation_subscription_id,reservation_total_reserved_normalized_units,reservation_total_reserved_units,reservation_units_per_reservation,reservation_unused_amortized_upfront_fee_for_billing_period,reservation_unused_normalized_unit_quantity,reservation_unused_quantity,reservation_unused_recurring_fee,reservation_upfront_value,resource_tags,savings_plan_amortized_upfront_commitment_for_billing_period,savings_plan_end_time,savings_plan_instance_type_family,savings_plan_net_amortized_upfront_commitment_for_billing_period,savings_plan_net_recurring_commitment_for_billing_period,savings_plan_net_savings_plan_effective_cost,savings_plan_offering_type,savings_plan_payment_option,savings_plan_purchase_term,savings_plan_recurring_commitment_for_billing_period,savings_plan_region,savings_plan_savings_plan_a_r_n,savings_plan_savings_plan_effective_cost,savings_plan_savings_plan_rate,savings_plan_start_time,savings_plan_total_commitment_to_date,savings_plan_used_commitment
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,4kbkobbqfyewsgz5xvd3qol4wvifgmg5csoimnev7d6wdxwfj4ga,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.0,,USD,Amazon Web Services EMEA SARL,Tax for product code AWSCloudFormation,Tax,,,0.0,0.0,,AWSCloudFormation,,VAT,0.0,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS CloudFormation""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,zale733axyhwvldj5pc62iw2uayxkyh2libpikpyw5cywn6lo3tq,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.0,,USD,Amazon Web Services EMEA SARL,Tax for product code AWSCloudTrail,Tax,,,0.0,0.0,,AWSCloudTrail,,VAT,0.0,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS CloudTrail""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,npkr4w7omc7fnnzcadve3scumra2rsim5zeyoxdpislowppyfgga,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.0,,USD,Amazon Web Services EMEA SARL,Tax for product code AWSCodeCommit,Tax,,,0.0,0.0,,AWSCodeCommit,,VAT,0.0,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS CodeCommit""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,wwmpveugwoxbjrwnruzxyyxoteppvi5z24fqfe4ne6gbqlyx4wyq,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.0,,USD,Amazon Web Services EMEA SARL,Tax for product code AWSDataTransfer,Tax,,,0.0,0.0,,AWSDataTransfer,,VAT,0.0,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Data Transfer""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,va22zafumy5g24pyutsc4wt3224fxthy2nuc6qltydvwc274rsta,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.0,,USD,Amazon Web Services EMEA SARL,Tax for product code AWSGlue,Tax,,,0.0,0.0,,AWSGlue,,VAT,0.0,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Glue""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,mwje7s33kgjln4hixk4tdyejbed6o4ah5jf566hxwtnh3pvjkubq,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.04,,USD,Amazon Web Services EMEA SARL,Tax for product code AWSSecretsManager,Tax,,,0.0,0.0,,AWSSecretsManager,,VAT,0.04,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""AWS Secrets Manager""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,fegeph7v5zzswdzrpoinvwxdex6uis6cr46rsbn7awilzbvaclma,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.0,,USD,Amazon Web Services EMEA SARL,Tax for product code AmazonDataZone,Tax,,,0.0,0.0,,AmazonDataZone,,VAT,0.0,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""Amazon DataZone""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,koevukmt2qjgge7csc3oimut6wlzfbishj26wuazvusmgr2nftqq,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.06,,USD,Amazon Web Services EMEA SARL,Tax for product code AmazonEC2,Tax,,,0.0,0.0,,AmazonEC2,,VAT,0.06,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""Amazon Elastic Compute Cloud""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,3cyo4zsmbbkjvlbhxubmczerhlz57imn6lp7vntmy7qjkfwhdmga,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.14,,USD,Amazon Web Services EMEA SARL,Tax for product code AmazonRedshift,Tax,,,0.0,0.0,,AmazonRedshift,,VAT,0.14,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""Amazon Redshift""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
Anniversary,AWS,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,Amazon Web Services EMEA SARL,236799639020,au-pod-1.cs.playgrounds.doit.com,{},{},,,mfmrxqpwx7bqtra5akqsohc2pro6l5pgkj6yc7gkd6fafy7vwnea,2025-02-01T00:00:00Z/2025-03-01T00:00:00Z,,0.01,,USD,Amazon Web Services EMEA SARL,Tax for product code AmazonSageMaker,Tax,,,0.0,0.0,,AmazonSageMaker,,VAT,0.01,,546709318047,simon-sandbox-doit,1.0,2025-03-01T00:00:00.000Z,2025-02-01T00:00:00.000Z,,,,,0.0,,,,,,,"{""product_name"":""Amazon SageMaker""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0
